,date,all,F,M,F10s,F30s,F40s,F20s,F19-24,F25-29,M20s,M19-24,M25-29
0,2016-01-01,1075.851664587949,877.997675324,122.65799831259895,248.9927949803,89.8044912144,39.524188788000004,500.497829679,370.428409029,130.06942064999998,34.808538348,18.233315100000002,16.575223248
1,2016-01-02,1094.5334959947277,931.723766116,121.00046228366584,241.8787416003,60.33738426240001,49.405245372,581.0869365825,443.9485225725,137.13841401000002,26.520667848000002,9.9454446,16.575223248
2,2016-01-03,1095.6322234348838,968.4837473959999,97.79495787860229,261.7981623474,86.998102368,38.112609276,579.672670411,429.810087411,149.862583,24.863385636000004,18.233315100000002,6.630070536
3,2016-01-04,1172.5573504347235,1016.554545688,137.57598865877134,328.67054925179997,92.61088006080001,42.347347812,554.222964332,393.049982427,161.17298190499997,48.069357012000005,38.1242043,9.945152712
4,2016-01-05,1097.830371300021,902.0331904759998,149.17874086130314,223.38213152919997,106.6428242928,60.69788146800001,508.9795998165,342.1514422815,166.828157535,74.590332966,56.35756863,18.232764336
5,2016-01-06,1148.3808423499268,1022.2100702,129.2883085141058,308.75112850470003,82.7884950336,49.405245372,579.6724586255,425.5684700805,154.10398854499996,36.466338312000005,26.521185600000003,9.945152712
6,2016-01-07,1084.6432165712604,944.448464256,92.82234979180298,271.7579083625,101.0300466,47.99366586,524.5327853680001,381.739195728,142.79358964,48.069390024,39.7817784,8.287611624
7,2016-01-08,1226.4050432823349,1149.456123552,86.19220567607054,300.2141931656,85.59488388000001,71.99051756400002,692.7797618129999,520.296381003,172.48338081,33.151256136,26.521185600000003,6.630070536
8,2016-01-09,954.9694706563778,897.791547092,59.67146312736635,270.3350976865,79.98210618719999,53.639983908,492.01518159499994,374.66992993499997,117.34525165999999,29.835961992,18.233315100000002,11.602646892
9,2016-01-10,1164.8648723839806,1081.591453492,69.616679300965,256.1069196434,75.7725469824,55.05156342000001,695.605981529,483.53627601899996,212.06970551,44.75409588,31.493907900000004,13.26018798
10,2016-01-11,996.7287362153845,928.8962358719999,82.87696753242987,194.925775443,105.23960580480001,40.93576830000001,588.1556575095,436.8792567795,151.27640073,48.069211068,33.151482,14.917729068
11,2016-01-12,1072.5547892826555,1005.2437286759999,79.56189547456366,236.1874988963,122.0779870128,49.405245372,598.052062676,429.810087411,168.241975265,41.439060612000006,31.493907900000004,9.945152712
12,2016-01-13,1985.7649943800266,2014.729332748,102.76756596540163,411.1939248753,336.7668540864,101.633649768,1164.995731857,726.718286472,438.277445385,51.384213324,31.493907900000004,19.890305424
13,2016-01-14,1248.3834035019945,1166.422233064,76.24682341669745,261.7981623474,154.3514828112,83.28315366000001,667.328524629,442.534650129,224.79387449999996,34.808797224,26.521185600000003,8.287611624
14,2016-01-15,1038.4880017743915,935.9654095,69.616679300965,250.4156769394,82.7884950336,40.93576830000001,562.7058301355,394.4638548705,168.241975265,31.493357136,13.260592800000001,18.232764336
15,2016-01-16,1004.4212142661272,916.1715377319999,71.27421532989811,241.8787416003,102.4332169584,45.170506836,527.359985389,370.428409029,156.93157636,33.15075228,8.2878705,24.86288178
16,2016-01-17,1361.573119382823,1355.8774319640002,84.53466964713743,341.47591661890004,154.3514828112,55.05156342000001,805.8847165965001,552.8148686565,253.06984794,33.151369068,29.836333800000002,3.315035268
17,2016-01-18,1072.5547892826555,907.688482976,82.87696753242987,221.9593208532,103.8364354464,35.28945025200001,547.1545764855,410.01616247550004,137.13841401000002,36.465933492000005,13.260592800000001,23.205340692
18,2016-01-19,2286.8717517687987,2267.807558324,135.91845262983827,466.68375508860004,287.65502520959996,115.74944488800001,1398.2795016665,921.8295016664999,476.45,74.58977988000001,38.1242043,36.46557558
19,2016-01-20,1748.3962092623335,1649.957282204,116.0278541968665,449.6099556935,169.7865974016,93.164210244,938.786162439,672.992097864,265.794064575,44.753837004,23.2060374,21.547799603999998
20,2016-01-21,1633.0086920087804,1531.1942836080002,79.56189547456366,404.0798002122,150.14187547679998,71.99051756400002,906.2688441015,675.8197463265,230.44909777499998,44.753837004,23.2060374,21.547799603999998
21,2016-01-22,2045.107363905656,1948.278543816,135.91845262983827,435.38177765040007,228.7208113056,111.514706352,1173.4807413474998,787.5138372974999,385.96690405,66.302201268,39.7817784,26.520422868
22,2016-01-23,1234.0975213330776,1097.1436818759998,102.76756596540163,304.4826964767,102.4332169584,59.286301956,631.983993268,453.845436828,178.13855643999997,76.247386992,41.4393525,34.808034492
23,2016-01-24,1235.1962487732337,1098.557563004,86.19220567607054,350.0127806749,88.4012727264,69.16735854000001,589.569687025,441.12087411,148.448812915,46.411345080000004,21.5484633,24.86288178
24,2016-01-25,1296.736419671588,1200.3544520879998,69.616679300965,331.5161706038,84.1917135216,63.52104049200001,721.0559600409999,527.365646796,193.690313245,33.151190112,23.2060374,9.945152712
25,2016-01-26,1356.078442704805,1247.0113692519997,86.19220567607054,379.8919474371,127.69076470559999,91.752630732,648.9497855225,459.5008301775,189.448955345,39.781194624,19.8908892,19.890305424
26,2016-01-27,1200.0307338248135,1102.799206388,99.4524939075354,310.1739391807,117.8683796784,60.69788146800001,615.0177525720001,434.051608317,180.96614425500002,39.781340568000005,24.8636115,14.917729068
27,2016-01-28,1098.929098740177,1006.657609804,72.93175135883124,263.2209730234,92.61088006080001,52.228404396,592.3970154095,436.8792567795,155.51775863,34.808505335999996,16.575741,18.232764336
28,2016-01-29,1020.9052443001814,979.7945644079999,51.383782982700815,229.0733742332,95.4172689072,45.170506836,610.7768371795,446.7762674595,164.00056972,26.520893712000003,16.575741,9.945152712
